sample_id,LymphocytesPN,StromaPN,TumorPN,LymphocytesSN,StromaSN,TumorSN
TCGA.05.4244,0,15.80581636,13.9098749,0,0.681684567,0.318315433
TCGA.05.4245,0,15.02092679,14.97938105,0,0.464642254,0.535357746
TCGA.05.4249,0,18.13169844,10.91588593,0,0.738064002,0.261935998
TCGA.05.4250,0,6.469161272,2.720584801,0,0.942534247,0.057465753
TCGA.05.4382,0,13.99740887,12.33197966,0,0.673886168,0.326113832
TCGA.05.4384,0,18.88633894,21.24175026,0,0.288771917,0.711228083
TCGA.05.4395,0,11.10062303,7.971046665,0,0.843191854,0.156808146
TCGA.05.4396,0,16.76554351,15.91708281,0,0.459837793,0.540162207
TCGA.05.4397,0,5.728447774,2.195337044,0,0.968008067,0.031991933
TCGA.05.4398,0,13.25845543,10.67696295,0,0.73123299,0.26876701
TCGA.05.4402,0,9.493601725,5.668101267,0,0.899676882,0.100323118
TCGA.05.4403,0,17.18840518,13.33664789,0,0.671048399,0.328951601
TCGA.05.4405,0,17.41653748,15.30536556,0,0.648737334,0.351262666
TCGA.05.4410,0,21.624179,17.19624685,0,0.724731597,0.275268403
TCGA.05.4417,0,10.74959985,7.062910305,0,0.844307296,0.155692704
TCGA.05.4418,0,12.25017908,8.903374951,0,0.746610276,0.253389724
TCGA.05.4420,0,15.97589578,8.606529521,0,0.783778111,0.216221889
TCGA.05.4422,0,15.49089501,10.74781395,0,0.676462083,0.323537917
TCGA.05.4424,0,15.61073552,12.27642667,0,0.652453498,0.347546502
TCGA.05.4426,0,10.4420831,6.861813613,0,0.864163783,0.135836217
TCGA.05.4427,0,5.554828348,2.363591001,0,0.951152519,0.048847481
TCGA.05.4430,0,17.30893183,16.29590706,0,0.559623748,0.440376252
TCGA.05.4432,0,14.79792239,12.64744826,0,0.611167118,0.388832882
TCGA.05.4433,0,11.65395351,13.81761409,0,0.271071475,0.728928525
TCGA.05.4434,0,15.06508205,14.00996106,0,0.511007693,0.488992307
TCGA.35.3615,0.596425435,4.484767525,12.1684256,0.00711972,0.060544432,0.932335847
TCGA.35.4122,8.629381038,6.728575629,17.02456179,0.140609667,0.086116812,0.773273522
TCGA.35.5375,7.075202213,1.909227626,11.45824847,0.146354446,0.019902565,0.833742989
TCGA.38.4625,0,8.282675048,10.98904519,0,0.127956638,0.872043362
TCGA.38.4626,0,0.113270339,4.199122613,0,0.000804813,0.999195187
TCGA.38.4627,1.210398952,1.50436423,6.707088996,0.02342345,0.016310165,0.960266385
TCGA.38.4628,0,15.83123184,15.65565173,0,0.501882769,0.498117231
TCGA.38.4629,0,3.924780447,7.347494382,0,0.054186015,0.945813985
TCGA.38.4630,0.032191009,6.248760302,10.08768599,0.000287056,0.061498471,0.938214473
TCGA.38.4631,0,14.74421187,16.43608904,0,0.265450586,0.734549414
TCGA.38.4632,0.003555606,1.944489703,5.662810763,7.99E-06,0.017295545,0.982696465
TCGA.38.6178,1.222060177,10.02396458,13.16258899,0.018798559,0.162035895,0.819165546
TCGA.44.2656,0.937756732,8.331914238,12.15883851,0.013586364,0.138396124,0.848017512
TCGA.44.2657,2.700651695,17.52074352,14.3404266,0.090892334,0.660590843,0.248516824
TCGA.44.2659,1.552149523,19.62237001,16.7862218,0.019879346,0.619242367,0.360878286
TCGA.44.2661,4.948662417,7.017841589,15.2436872,0.075493374,0.096811344,0.827695282
TCGA.44.2662,0,13.4024017,13.10312136,0,0.609554953,0.390445047
TCGA.44.2664,4.97890922,0.447691225,8.944389339,0.050162358,0.003810046,0.946027597
TCGA.44.2665,0.306747792,0.482922119,4.68424687,0.004280174,0.00338272,0.992337106
TCGA.44.2666,1.498741293,1.364207321,7.418936243,0.014893194,0.013761812,0.971344995
TCGA.44.2668,0.922869669,6.804409313,11.27742585,0.008114035,0.085448231,0.906437734
TCGA.44.3396,2.778622987,0.317328613,6.716698707,0.040089765,0.001716843,0.958193392
TCGA.44.3917,0.322206411,0.392090938,5.300659301,0.005355635,0.00440015,0.990244215
TCGA.44.3918,0.250793647,7.148878592,10.21037047,0.003229579,0.136716446,0.860053974
TCGA.44.3919,0.878022706,12.0454208,15.12051217,0.011055245,0.231006707,0.757938048
TCGA.44.4112,0.467639345,2.293785231,6.234883936,0.006881061,0.037550372,0.955568567
TCGA.44.5643,2.110545205,3.723454969,11.22929834,0.027982452,0.121426772,0.850590776
TCGA.44.5644,4.321612803,0.476510686,7.914231564,0.050128767,0.00306197,0.946809263
TCGA.44.5645,2.887969087,3.302325583,10.47411879,0.036346191,0.027668132,0.935985677
TCGA.44.6145,0.055517626,10.87962479,13.3386764,0.000237671,0.143870461,0.855891868
TCGA.44.6146,0,0.309309719,11.27312179,0,0.001748497,0.998251503
TCGA.44.6147,1.374592285,5.746034597,10.03134876,0.041944438,0.110252784,0.847802778
TCGA.44.6148,0.098372781,17.39331398,19.68649635,0.000723357,0.453389003,0.54588764
TCGA.44.6774,0.742232062,6.437597516,10.82129411,0.011630996,0.105524039,0.882844965
TCGA.44.6775,0.252695485,0.996240007,5.053330626,0.003291764,0.006578478,0.990129758
TCGA.44.6776,0,8.0190182,12.3675439,0,0.105535872,0.894464128
TCGA.44.6777,1.899772866,12.73668202,14.11664305,0.067480025,0.287400874,0.645119101
TCGA.44.6778,6.407542472,9.641427396,16.80975713,0.118179241,0.249052123,0.632768636
TCGA.44.6779,0.06206184,11.81031281,14.49630788,0.000362254,0.169085979,0.830551767
TCGA.44.7659,0.313413412,10.92529632,13.95231731,0.007424738,0.174848112,0.81772715
TCGA.44.7660,0.522847315,13.66129725,14.01971383,0.011044081,0.27824912,0.710706799
TCGA.44.7662,0.011902193,11.59010232,13.61604195,4.62E-05,0.215104,0.784849842
TCGA.44.7667,0.321322425,8.955528646,12.60073945,0.003146071,0.184956442,0.811897487
TCGA.44.7669,0.2984864,0.023547198,4.25714053,0.002338325,0.000205315,0.99745636
TCGA.44.7670,0.161064673,4.289472107,8.921988896,0.002670463,0.054176288,0.943153249
TCGA.44.7672,1.32226595,5.788195246,9.998958057,0.021698293,0.055637411,0.922664295
TCGA.44.8119,0,10.88149511,12.57671987,0,0.239380681,0.760619319
TCGA.44.A4SS,0,12.47922596,8.159923045,0,0.852904089,0.147095911
TCGA.44.A4SU,0.190201193,1.495905641,9.307194648,0.00183887,0.015719798,0.982441332
TCGA.49.4487,0.150303041,1.325076479,9.093225828,0.001377874,0.014013602,0.984608524
TCGA.49.4488,0.997449317,4.347529874,11.19583267,0.012844368,0.069598386,0.917557245
TCGA.49.4490,0.631732172,4.925976394,9.798148299,0.010448892,0.100342105,0.889209003
TCGA.49.4494,1.748147203,5.716573928,11.75104841,0.026150347,0.117916139,0.855933514
TCGA.49.4501,0.80431153,10.91501074,15.34178622,0.015760362,0.22971209,0.754527549
TCGA.49.4505,0.940688819,8.618351028,12.57988317,0.015480019,0.167398378,0.817121603
TCGA.49.4506,1.183230592,5.647500235,10.1978445,0.018387873,0.099509079,0.882103047
TCGA.49.4507,0.096133804,0.211296195,4.369793093,0.000765421,0.001124406,0.998110173
TCGA.49.4510,0.81149091,2.65630682,10.2351416,0.007286948,0.026788767,0.965924285
TCGA.49.4512,0.683252216,2.665143423,9.005078176,0.00868014,0.040407513,0.950912347
TCGA.49.4514,5.55167728,1.945913783,11.10385862,0.09765023,0.020459456,0.881890313
TCGA.49.6742,0.936064857,4.495970526,11.5128587,0.014514576,0.059400727,0.926084697
TCGA.49.6743,0.347919838,5.316123461,9.52648654,0.003823693,0.080303681,0.915872626
TCGA.49.6744,3.108469503,2.501742945,12.88447969,0.048818101,0.033687647,0.917494252
TCGA.49.6745,1.043442585,2.590758408,7.441209522,0.016269897,0.031102111,0.952627993
TCGA.49.6761,1.78638779,15.87107559,15.9267902,0.03336603,0.494441205,0.472192765
TCGA.49.6767,0.799067271,1.816117455,6.82988145,0.010176305,0.015701876,0.974121819
TCGA.49.AAQV,0.216592331,3.507493603,7.418222628,0.002192739,0.067666467,0.930140793
TCGA.49.AAR0,0.166475865,6.933762799,9.661442107,0.001194645,0.150438124,0.84836723
TCGA.49.AAR2,13.03028431,0.695361321,18.97625312,0.25883197,0.020331617,0.720836413
TCGA.49.AARE,0.41402473,6.48230462,10.16021753,0.006206094,0.149626349,0.844167557
TCGA.49.AARN,1.59547151,1.894590795,7.566329137,0.023143415,0.020635402,0.956221183
TCGA.49.AARO,0.760633797,1.67598778,6.160325523,0.011574803,0.025344715,0.963080482
TCGA.49.AARQ,2.353901853,0.191099914,6.540683047,0.038908008,0.001215757,0.959876235
TCGA.50.5045,0.118940095,18.030403,17.04167042,0.000573398,0.626003409,0.373423193
TCGA.50.5055,1.556196418,11.98354279,15.15602323,0.030491985,0.232755935,0.73675208
TCGA.50.5066,0.824680855,2.890507047,7.248730043,0.006245872,0.046163669,0.947590459
TCGA.50.5068,1.206089979,11.68622875,14.7802579,0.018742421,0.192488114,0.788769464
TCGA.50.5931,0.114243609,10.77700143,12.49123135,0.001788281,0.193527845,0.804683874
TCGA.50.5939,1.731695751,15.23587401,19.46897414,0.028857412,0.197264617,0.773877971
TCGA.50.5942,1.235002269,0.741785015,8.406479264,0.012460141,0.017234669,0.97030519
TCGA.50.5946,2.198302617,4.424959548,10.05304832,0.027358599,0.060777186,0.911864215
TCGA.50.6591,0,4.660016815,8.524005882,0,0.061202238,0.938797762
TCGA.50.6593,0.044161004,12.27395436,9.872417427,0.000497283,0.822124021,0.177378696
TCGA.50.6594,0,5.597618742,8.510436544,0,0.085095777,0.914904223
TCGA.50.6597,0.665110129,9.732048632,13.76347266,0.006535533,0.174649685,0.818814782
TCGA.50.6673,1.773140486,13.76882572,13.30708718,0.046517134,0.486424299,0.467058568
TCGA.50.8457,0.275158894,13.60309402,11.10790483,0.002988505,0.546333689,0.450677806
TCGA.50.8459,0.70437039,12.55261304,16.75767406,0.015843629,0.247353431,0.73680294
TCGA.53.7624,1.267271375,6.408379295,10.54266618,0.02003974,0.098877866,0.881082394
TCGA.53.7626,2.915584923,13.69888697,8.242716336,0.070670428,0.792715059,0.136614513
TCGA.53.7813,3.60480511,2.796594923,9.562003654,0.059825935,0.048591474,0.891582591
TCGA.53.A4EZ,0.645875851,8.705963018,11.6662839,0.010411679,0.181971492,0.807616829
TCGA.55.1592,0.028941317,3.829463219,11.22328819,0.000199913,0.053722212,0.946077875
TCGA.55.1594,0.260741019,12.19798519,13.52474316,0.002360612,0.282477207,0.715162181
TCGA.55.1595,0.005419867,12.30834775,11.42684915,2.22E-05,0.483534552,0.51644327
TCGA.55.1596,0.014717078,15.25563285,11.14972841,7.57E-05,0.784080768,0.215843537
TCGA.55.6543,0,12.8309275,17.44013114,0,0.246180114,0.753819886
TCGA.55.6642,0,14.35459146,11.68611701,0,0.625299692,0.374700308
TCGA.55.6968,6.9901054,15.47316546,12.11617881,0.102062293,0.668824826,0.229112881
TCGA.55.6969,0.039774378,13.977206,14.5977153,0.000382804,0.501523088,0.498094108
TCGA.55.6970,0.163474038,17.76715649,19.03219034,0.001778974,0.452674302,0.545546725
TCGA.55.6971,0.093660901,14.81611082,16.86570193,0.001130199,0.243467356,0.755402445
TCGA.55.6972,0,3.477776146,9.663083926,0,0.028245807,0.971754193
TCGA.55.6975,0,14.69379034,13.51836206,0,0.48349859,0.51650141
TCGA.55.6980,0.338586552,17.73977784,16.39937534,0.004352993,0.485115401,0.510531606
TCGA.55.6981,0,8.926827128,5.701840839,0,0.915788532,0.084211468
TCGA.55.6982,0,10.33378776,7.613482919,0,0.892946277,0.107053723
TCGA.55.6983,0.545407972,15.254682,14.97246897,0.00787321,0.580212913,0.411913877
TCGA.55.6984,4.753474114,11.38301312,18.13619391,0.149269055,0.203793243,0.646937702
TCGA.55.6985,0.009136275,17.30207781,15.10407717,6.42E-05,0.717754089,0.282181754
TCGA.55.6986,0.067148005,9.405249011,14.77773166,0.000838284,0.183434821,0.815726895
TCGA.55.7227,0.01055422,15.82980902,16.74443499,7.32E-05,0.427445761,0.572480996
TCGA.55.7281,0.064921915,14.78418716,17.00397822,0.000857972,0.210174135,0.788967893
TCGA.55.7283,0.009111665,9.395265105,14.86843421,1.75E-05,0.23598997,0.763992549
TCGA.55.7284,0,16.64105171,18.9382056,0,0.488650863,0.511349137
TCGA.55.7570,0,20.54963152,23.0250146,0,0.446033253,0.553966747
TCGA.55.7573,0,14.79271534,18.10731213,0,0.247895349,0.752104651
TCGA.55.7576,0.283146085,13.28882299,14.52544399,0.003166998,0.261076661,0.735756341
TCGA.55.7724,0.483231657,4.061360874,8.275868221,0.00539847,0.044627496,0.949974034
TCGA.55.7725,1.538079974,10.30111168,14.8056947,0.045638191,0.137340556,0.817021253
TCGA.55.7726,0.196868775,11.23734102,13.12363718,0.002738459,0.250903267,0.746358274
TCGA.55.7727,1.192407297,4.776773518,8.037108482,0.037729466,0.116939386,0.845331148
TCGA.55.7728,0.091491621,18.84571944,21.1259106,0.001437017,0.380049608,0.618513376
TCGA.55.7815,0.035014717,12.52112937,13.00788007,0.000277249,0.437877736,0.561845015
TCGA.55.7816,0.239243379,12.41437958,12.15971276,0.002653652,0.595334264,0.402012084
TCGA.55.7903,0,7.201970518,10.12730518,0,0.096571239,0.903428761
TCGA.55.7907,0.115628122,14.25408304,15.97426005,0.003775121,0.408346138,0.587878741
TCGA.55.7910,0.088777029,6.64783839,9.35037705,0.001965607,0.180911874,0.817122519
TCGA.55.7911,3.692652858,15.56015507,19.19499751,0.078680804,0.355540405,0.565778791
TCGA.55.7913,0,9.437437025,13.2986063,0,0.104135259,0.895864741
TCGA.55.7914,0,12.47652918,14.40093643,0,0.228305124,0.771694876
TCGA.55.7994,0.011643711,1.89108329,5.62223388,3.88E-05,0.02123611,0.978725078
TCGA.55.7995,0.401862797,0.760855004,5.417968417,0.004042818,0.006576913,0.98938027
TCGA.55.8085,0,11.45239288,13.3112705,0,0.221386291,0.778613709
TCGA.55.8087,0.331558905,19.24353113,19.64282857,0.009228015,0.351536237,0.639235748
TCGA.55.8089,0.029108699,15.20305943,15.93489712,0.000216578,0.336235851,0.663547571
TCGA.55.8090,0.090382366,12.38442952,14.97591665,0.001286739,0.199284399,0.799428862
TCGA.55.8091,0.010425756,17.03265281,17.56696463,3.70E-05,0.399113082,0.600849905
TCGA.55.8092,0.020721255,8.048160744,12.1102986,0.00030838,0.103333527,0.896358093
TCGA.55.8094,0,11.47354549,11.96826657,0,0.423703524,0.576296476
TCGA.55.8096,0,17.50414572,16.22181708,0,0.662298019,0.337701981
TCGA.55.8097,1.732593156,10.38757127,15.80153079,0.049246478,0.160184234,0.790569288
TCGA.55.8203,0.751216821,11.08082039,13.86528278,0.016363247,0.205361231,0.778275522
TCGA.55.8205,0,17.84998429,19.01592886,0,0.310885144,0.689114856
TCGA.55.8206,0,20.26348142,20.49791157,0,0.535283399,0.464716601
TCGA.55.8207,0.617144636,17.53308712,17.12099891,0.005581078,0.552070958,0.442347964
TCGA.55.8208,7.412644433,8.556596177,17.56834143,0.139926331,0.133228717,0.726844952
TCGA.55.8299,0.054020764,16.39813571,17.23598711,0.000371553,0.416419163,0.583209284
TCGA.55.8302,0,14.23361969,13.68451242,0,0.558589353,0.441410647
TCGA.55.8505,0,13.48324588,13.9342323,0,0.378492303,0.621507697
TCGA.55.8506,0.123986517,13.46412807,13.70976509,0.001225785,0.459626961,0.539147254
TCGA.55.8507,0.132022498,11.80661619,12.46029796,0.000892031,0.45328953,0.545818439
TCGA.55.8508,0.912184586,13.3546173,15.77505941,0.014878754,0.34559839,0.639522855
TCGA.55.8510,0.041738983,18.39174963,19.63113847,0.000331466,0.391642282,0.608026253
TCGA.55.8511,0.153269026,17.1959704,19.5943318,0.001662483,0.421491422,0.576846095
TCGA.55.8512,0,8.940569254,14.55142108,0,0.149557496,0.850442504
TCGA.55.8513,0.009937388,16.55329174,18.89752058,6.55E-05,0.451027795,0.548906741
TCGA.55.8514,0.020303861,15.36575823,15.97023509,0.000244506,0.409376923,0.590378571
TCGA.55.8614,0.028717582,15.35203857,13.27705143,0.000553605,0.693334069,0.306112326
TCGA.55.8615,0.031888741,13.16299882,14.04921127,0.000425523,0.342773279,0.656801197
